standardized_disease;fuzzy;list_of_diseases;corrected_list_of_diseases
glaukoma;glaukoma;[];[]
glaukoma;aphakic glukoma;[];[]
glaukoma;glaukoma sudutterbuka;[];[]
glaukoma;glaukoma sudut terbuka kronis;[];[]
glaukoma;glaukoma sudut terbuka;[];[]
glaukoma;glaukoma sudut  terbuka;[];[]
glaukoma;glaukoma sudut terbuka khronis;[];[]
glaukoma;glaukoma simplek kronis;[];[]
glaukoma;glaukoma sudut  terbuka khronis;[];[]
gonore;gonore;['eritritis pielonefritis gonore', 'uretritis gonore', 'uretritis non gonore', 'uretritis servisitis gonore'];['eritritis pielonefritis gonore', 'uretritis gonore', 'uretritis non gonore', 'uretritis servisitis gonore','gogonorea tanpa komplikasi']
gonore;gonorrhoeae;[];[]
gonore;gonorrhoea tidak terkomplikasi;[];[]
gonore;gonorrhoea akut tidak terkomplikasi;[];[]
gonore;gonorhea yang tidak terkomplikasi infeksi kulit dan jaringan lunak;['gonorhea tidak terkomplikasi infeksi kulit jaringan lunak'];['gonorhea tidak terkomplikasi infeksi kulit jaringan lunak','go', 'go akut', 'go infeksi']
gonore;gonore tidak terkomplikasi;[];[]
gonore;gonore akut;[];[]
gonore;gonore komplikasi;['komplikasi', 'uretritis gonore servisitis komplikasi'];['uretritis gonore servisitis komplikasi']
gonore;gonorrhea komplikasi;[];[]
gonore;gonorea tanpa komplikasi;[];[]
gonore;gonorrhoea;['n gonorrhoea', 'neisseria gonorrhoea'];['n gonorrhoea', 'neisseria gonorrhoea']
gonore;gonorea;[];[]
gonore;gonorrhoea acute tidak terkomplikasi;[];[]
gonore;gonorrhea;[];[]
granuloma inguinale;granuloma inguinale;['limfogranuloma inguinale'];['limfogranuloma inguinale']
gusi bengkak;gusi bengkak;[];[]
hematoma;hematoma;[];[]
hepatitis;hepatitis;['profilaksis infeksi hepatitis'];['profilaksis infeksi hepatitis']
hepatitis;hepatitis alkoholik;[];[]
hepatitis;hepatitis virus;['virus hepatitis b'];['virus hepatitis b']
hepatitis b;hepatitis b kronik;[];[]
hepatitis b;infeksi virus hepatitis b kronik;['virus hepatitis b kronik'];['virus hepatitis b kronik']
hernia;hernia peptik;['tukak peptik', 'ulkus peptik'];[]
hernia;hernia;[];[]
hernia hiatus;hiatus hernis;[];[]
hernia hiatus;hiatus;[];[]
hernia hiatus;hernia hiatus;[];[]
hernia hiatus;hiatus hernia;[];[]
hernia nukleus pulposus;hernia neukleus pulposus;[];[]
herpes;virus herpes;[];['herpes labialis', 'infeksi rekuren herpes labialis']
herpes genital (herpes simplex);infeksi virus herpes simpleks kulit membran mukosa;[];[]
herpes genital (herpes simplex);herpes simplex dan zoster;['herpes simplex zoster'];['herpes simplex zoster']
herpes genital (herpes simplex);herpes simplex tipe 1;[];[]
herpes genital (herpes simplex);herpes ginital;[];[]
herpes genital (herpes simplex);herpes simplek;['herpes simplek kulit', 'lichen simplek'];['herpes simplek kulit', 'lichen simplek']
herpes genital (herpes simplex);herpes genital awal;['infeksi awal herpes genital', 'infeksi awal herpes labialis'];['infeksi awal herpes genital', 'infeksi awal herpes labialis']
herpes genital (herpes simplex);virus herpes simpleks;[];[]
herpes genital (herpes simplex);herpes simpleks kulit membran mukosa;['iritasi membran mukosa'];[]
herpes genital (herpes simplex);infeksi virus herpes simpleks;[];[]
herpes genital (herpes simplex);herpes genital berulang;[];[]
herpes genital (herpes simplex);herpes simplek pada kulit;[];[]
herpes genital (herpes simplex);infeksi herpes simplex pada kulit;[];[]
herpes genital (herpes simplex);infeksi virus herpes simpleks pada kulit dan selaput lendir;['infeksi selaput lendir mulut', 'infeksi virus herpes simpleks kulit selaput lendir'];['alergi kulit selaput lendir', 'infeksi virus herpes simpleks kulit selaput lendir']
herpes genital (herpes simplex);infeksi virus herpes simplex kulit membran mukosa;[];[]
herpes genital (herpes simplex);herpes genital rekuren;['infeksi rekuren herpes genital', 'rekuren'];['infeksi rekuren herpes genital', 'rekuren']
herpes genital (herpes simplex);herpes genital awal  rekuren;['herpes genital awal rekuren'];['herpes genital awal rekuren']
herpes genital (herpes simplex);herpes genital awal dan rekuren;[];[]
herpes genital (herpes simplex);herpes simplex tipe 2;['herpes simplex tipe 1 2'];['herpes simplex tipe 1 2']
herpes genital (herpes simplex);herpes genitalis;[];[]
herpes genital (herpes simplex);herpes simplex;[];[]
herpes genital (herpes simplex);herpes genital;[];[]
herpes genital (herpes simplex);herpes ginital awal;[];[]
herpes genital (herpes simplex);herpes simpleks;[];[]
herpes genital (herpes simplex);infeksi herpes simplex;['infeksi herpes simplex kulit', 'pencegahan infeksi herpes simplex', 'supresi kekambuhan infeksi herpes simplex'];['infeksi herpes simplex kulit', 'pencegahan infeksi herpes simplex', 'supresi kekambuhan infeksi herpes simplex']
herpes genital (herpes simplex);infeksi herpes simpleks pada kulit;['infeksi herpes simpleks kulit'];['infeksi herpes simpleks kulit']
herpes genital (herpes simplex);herpes simplex tipe 1  2;[];[]
herpes zoster;infeksi virus herpes zoster;[];[]
herpes zoster;zoster;[];[]
herpes zoster;herpes zoster;[];[]
hidung tersumbat;hidung tersumbat pilek;['pilek gatal hidung'];['pilek gatal hidung']
hidung tersumbat;hidung tersumbat/gatal;['gatal hidung', 'gatal hidung tenggorokan'];['gatal hidung', 'gatal hidung tenggorokan']
hidung tersumbat;hidung tersumbat;['hidung', 'hidung tersumbat bersinbersin', 'tenggorokan hidung tersumbat', 'tersumbat'];['hidung', 'hidung tersumbat bersinbersin', 'tenggorokan hidung tersumbat', 'tersumbat']
hidung tersumbat;hidung berair tersumbat;['hidung berair'];['hidung berair']
hiperemesis gravidarum;emesis gravidarum;[];[]
hiperemesis gravidarum;hiperemesis gravidarum;['hiperemesis gravidarum muntahmuntah 3 kehamilan'];['hiperemesis gravidarum muntahmuntah 3 kehamilan']
hiperglikemia;hiperglikemia;[];[]
hiperkalemia;hiperkalemia;[];[]
hiperkolesterolemia;hiperkolesterolemia primer tipe iia;[];[]
hiperkolesterolemia;hiperkolesterolemia hip;[];[]
hiperkolesterolemia;hiperkolesterolemia tipe iia;[];[]
hiperkolesterolemia;hiperkoleterolemia primer;[];[]
hiperkolesterolemia;hiperko - lesterolemia;['hiperko lesterolemia'];['hiperko lesterolemia']
hiperkolesterolemia;hiperkolesterolemia;[];[]
